Day,Word,Meaning
1,various,여러 가지의
1,shift,옮기다/교대 근무
1,facility,시설
1,revise,수정하다
1,flexible,유연한
1,leak,새다/누출
1,within,이내에
1,refurbish,재단장하다
1,representative,대표자
1,notice,알아차리다/공고
1,distinguished,저명한
1,resident,거주자
1,apprentice,수습생
1,significant,중요한
1,punctual,시간을 엄수하는
1,consecutive,연속적인
1,merger,합병
1,terminate,끝내다
1,laboratory,실험실
1,blueprint,청사진
1,innovative,혁신적인
1,prop,받침대/지지하다
1,duplicate,복사하다/복사본
1,verify,확인하다
1,ensure,보장하다
2,hesitate,주저하다
2,attach,첨부하다
2,applause,박수갈채
2,issue,쟁점/발행하다
2,domestic,국내의/가정의
2,acquaintance,지인
2,inclement weather,악천후
2,renowned,유명한
2,fragile,깨지기 쉬운
2,versatile,다재다능한
2,disregard,무시하다
2,relinquish,포기하다
2,thrive,번창하다
2,bankrupt,파산한
2,comply,준수하다
2,readership,독자 수
2,decade,10년
2,occasion,때/경우
2,occupation,직업
2,delegate,위임하다/대표
2,correspondence,서신
2,entrepreneur,사업가
2,minutes,회의록
2,shortage,부족
2,flourish,번창하다
3,durable,내구성이 좋은
3,nomination,지명/임명
3,steady,꾸준한
3,leading,선두하는
3,qualified,자격이 있는
3,imperative,필수적인
3,outreach,봉사 활동
3,assemble,조립하다/모으다
3,endorse,지지하다/홍보하다
3,disclose,공개하다
3,commemorate,기념하다
3,terminate,종료하다
3,account,계좌/설명하다
3,extension,연장/내선 번호
3,congestion,혼잡
3,substantially,상당히
3,mainly,주로
3,accurate,정확한
3,complete,완료하다
3,separate,분리하다/별개의
3,patron,고객/후원자
3,testimonial,추천서
3,extend,연장하다
3,power outage,정전
3,avid,열렬한
4,culinary,요리의
4,sweep,쓸다
4,pedestrian,보행자
4,dig,파다
4,pavement,보도/인도
4,alternative,대안
4,beverage,음료
4,refreshment,다과
4,accelerate,가속화하다
4,through,통하여
4,mention,언급하다
4,year-end,연말
4,appointment,약속/임명
4,misplace,제자리에 두지 않다
4,schedule conflict,일정 겹침
4,accommodation,숙박 시설
4,demonstration,시연/설명
4,regard,여기다/관심
4,highly,매우
4,promptly,즉시
4,mow,깎다
4,exhibition,전시회
4,branch,지사
4,flagship store,본점
4,win,이기다/얻다
5,retirement,은퇴
5,inaugurate,취임시키다/개시하다
5,probation,수습 기간
5,consequently,결과적으로
5,relocate,이전하다
5,replacement,교체/후임자
5,broaden,넓히다
5,immediately,즉시
5,appraise,평가하다
5,enforce,시행하다
5,abruptly,갑자기
5,severe,심각한
5,mutually,상호간에
5,implement,시행하다
5,sanitize,살균하다
5,cease,중단하다
5,evaluate,평가하다
5,monthly,매월의
5,attainable,달성 가능한
5,currency,통화
5,interest rate,금리
5,in advance,미리
5,apparently,보아하니
5,tend,경향이 있다
5,modification,수정
6,procedure,절차
6,capacity,수용력
6,lightweight,가벼운
6,eventually,결국
6,complex,복잡한/단지
6,timely,시기적절한
6,stringent,엄격한
6,emphasis,강조
6,operation,수술/운영
6,available,이용 가능한
6,factor,요인
6,feasible,실현 가능한
6,impeccable,흠 잡을 데 없는
6,redeemable,상환할 수 있는
6,findings,연구 결과
6,garment,의복
6,property,재산/부동산
6,catering,출장 연회
6,conglomerate,대기업
6,vendor,상인
6,doubt,의심
6,malicious,악의적인
6,complimentary,무료의
6,inquiry,문의
6,deliberation,숙고
7,willing,기꺼이 하는
7,noteworthy,주목할 만한
7,supplementary,보충의
7,dispute,논쟁
7,eager,열망하는
7,utility fee,공과금
7,venue,장소
7,undergo,겪다
7,specialize,전공하다/전문으로 하다
7,compile,편집하다
7,apron,앞치마
7,conventional,관습적인
7,robust,튼튼한
7,secondhand,중고의
7,cautious,신중한
7,crack,금이 가다
7,tremendous,엄청난
7,simplify,단순화하다
7,double-book,이중 예약하다
7,remote control,리모컨
7,breach,위반
7,portable,휴대용의
7,seasoned,노련한
7,receipt,영수증
7,fountain,분수
8,tidy,깔끔한
8,flyer,전단지
8,slightly,약간
8,excursion,짧은 여행
8,lodging,숙소
8,gifted,재능 있는
8,transparent,투명한
8,sheer,순전한/얇은
8,thoroughly,철저히
